SampleID,Env,Contribution
S320,Elder,0.118250474
S290,Elder,0.5024513
SRR5602345,Elder,0.67167026
S330,Elder,0.6703095
SRR5602125,Elder,0.112087406
SRR5602220,Elder,0.6610655
S050,Elder,0.12421985
S080,Elder,0.6723824
SRR5602155,Elder,0.6688091
SRR5602193,Elder,0.54842997
SRR5602335,Elder,0.57314116
SRR5602119,Elder,0.6460418
S150,Elder,0.11966773
SRR5602179,Elder,0.65427196
SRR3679961,Elder,0.120271884
SRR5602134,Elder,0.6712957
S130,Elder,0.15458725
S200,Elder,0.12191438
S210,Elder,0.0335836
SRR5602290,Elder,0.6723824
SRR5602138,Elder,0.41354838
C052,Elder,0.67164415
C012,Elder,0.11888396
SRR5602168,Elder,0.12046756
SRR5602159,Elder,0.631296
SRR5602160,Elder,0.6678341
SRR5602010,Elder,0.6716203
C010,Elder,0.18898477
S240,Elder,0.11598589
S030,Elder,0.6723824
SRR5602324,Elder,0.63995427
SRR3679980,Elder,0.6723824
SRR5602349,Elder,0.2039673
S110,Elder,0.12047962
SRR5602182,Elder,0.671788
S100,Elder,0.4431677
C042,Elder,0.07710038
SRR5602351,Elder,0.6712184
SRR5602333,Elder,0.6648341
S220,Elder,0.6723824
SRR5602092,Elder,0.66530645
S120,Elder,0.6694832
SRR5602260,Elder,0.67237985
SRR5602284,Elder,0.6717108
C021,Elder,0.6723824
SRR5602256,Elder,0.5188441
SRR5602234,Elder,0.61755735
SRR5602210,Elder,0.1121757
S010,Elder,0.11928633
S280,Elder,0.6723824
S260,Elder,0.301267
S020,Elder,0.6671114
SRR5602016,Elder,0.6745591
S180,Elder,0.6716773
SRR5602145,Elder,0.38045886
S320,Young,0.8817495
S290,Young,0.49754867
SRR5602345,Young,0.32832974
S330,Young,0.32969055
SRR5602125,Young,0.88791263
SRR5602220,Young,0.33893445
S050,Young,0.87578017
S080,Young,0.32761762
SRR5602155,Young,0.3311909
SRR5602193,Young,0.4515701
SRR5602335,Young,0.42685884
SRR5602119,Young,0.3539582
S150,Young,0.8803323
SRR5602179,Young,0.34572798
SRR3679961,Young,0.87972814
SRR5602134,Young,0.32870427
S130,Young,0.84541273
S200,Young,0.8780856
S210,Young,0.96641636
SRR5602290,Young,0.32761762
SRR5602138,Young,0.5864516
C052,Young,0.32835582
C012,Young,0.88111603
SRR5602168,Young,0.8795324
SRR5602159,Young,0.36870402
SRR5602160,Young,0.33216596
SRR5602010,Young,0.32837972
C010,Young,0.81101525
S240,Young,0.8840141
S030,Young,0.32761762
SRR5602324,Young,0.36004576
SRR3679980,Young,0.32761762
SRR5602349,Young,0.79603267
S110,Young,0.8795203
SRR5602182,Young,0.328212
S100,Young,0.5568324
C042,Young,0.92289966
SRR5602351,Young,0.3287816
SRR5602333,Young,0.3351659
S220,Young,0.32761762
SRR5602092,Young,0.33469352
S120,Young,0.33051682
SRR5602260,Young,0.32762012
SRR5602284,Young,0.32828924
C021,Young,0.32761762
SRR5602256,Young,0.48115584
SRR5602234,Young,0.38244268
SRR5602210,Young,0.8878243
S010,Young,0.88071364
S280,Young,0.32761762
S260,Young,0.698733
S020,Young,0.3328886
SRR5602016,Young,0.32544094
S180,Young,0.32832268
SRR5602145,Young,0.6195411
